margSBLY,n,landing,coverage
BDG,9,6313,0.777777777777778
BRG,326,387,0.865030674846626
CRS,50,0,0.88
ERK,323,0,0.721362229102167
MNT,108,900,0.777777777777778
MRO,138,0,0.717391304347826
OSF,29,0,0.862068965517241
HKL,110,0,0.945454545454545
NET,6,0,0.166666666666667
TWL,867,7600,0.771626297577855
1978,124,387,0.943548387096774
1979,102,0,0.803921568627451
1980,271,0,0.656826568265683
1981,237,0,0.860759493670886
1982,249,7213,0.775100401606426
Q1,162,0,0.901234567901235
Q2,289,6588,0.820069204152249
Q3,340,112,0.735294117647059
Q4,192,900,0.734375
