margSTRK,n,landing,coverage
BDG,9,0,1
BRG,326,127568,0.950920245398773
CRS,50,10870,0.92
ERK,323,14240,0.975232198142415
MNT,108,28922,0.962962962962963
MRO,138,0,1
OSF,29,4362,1
HKL,110,0,1
NET,6,0,1
TWL,867,185962,0.963091118800461
1978,124,25258,0.943548387096774
1979,102,67002,0.950980392156863
1980,271,65546,0.959409594095941
1981,237,6271,0.9957805907173
1982,249,21885,0.967871485943775
Q1,162,30435,0.993827160493827
Q2,289,30177,0.975778546712803
Q3,340,73936,0.947058823529412
Q4,192,51414,0.96875
