"marginalBLUR","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,1
"CRS",50,0,0.98
"ERK",323,0,0.993808049535604
"MNT",108,0,0.981481481481482
"MRO",138,0,0.963768115942029
"OSF",29,0,1
"HKL",110,0,0.927272727272727
"NET",6,0,0.833333333333333
"TWL",867,0,0.998846597462514
"1978",124,0,1
"1979",102,0,0.96078431372549
"1980",271,0,0.992619926199262
"1981",237,0,0.9957805907173
"1982",249,0,0.987951807228916
"Q1",162,0,0.993827160493827
"Q2",289,0,0.996539792387543
"Q3",340,0,0.988235294117647
"Q4",192,0,0.979166666666667
