"marginalBRNZ","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.861963190184049
"CRS",50,0,0.96
"ERK",323,0,0.736842105263158
"MNT",108,0,0.537037037037037
"MRO",138,766,0.840579710144927
"OSF",29,0,0.96551724137931
"HKL",110,766,0.963636363636364
"NET",6,0,0.166666666666667
"TWL",867,0,0.773933102652826
"1978",124,0,0.790322580645161
"1979",102,766,0.980392156862745
"1980",271,0,0.660516605166052
"1981",237,0,0.864978902953586
"1982",249,0,0.78714859437751
"Q1",162,0,0.962962962962963
"Q2",289,0,0.809688581314879
"Q3",340,766,0.776470588235294
"Q4",192,0,0.645833333333333
