"marginalGSRK","n","landing","coverage"
"BDG",9,45632,0.888888888888889
"BRG",326,250576,0.969325153374233
"CRS",50,35815,0.94
"ERK",323,9750,0.969040247678019
"MNT",108,11597,0.972222222222222
"MRO",138,1308,1
"OSF",29,0,1
"HKL",110,2205,1
"NET",6,0,1
"TWL",867,352473,0.968858131487889
"1978",124,20436,0.959677419354839
"1979",102,8874,0.970588235294118
"1980",271,224858,0.970479704797048
"1981",237,23860,0.978902953586498
"1982",249,76650,0.975903614457831
"Q1",162,208438,0.975308641975309
"Q2",289,78136,0.97923875432526
"Q3",340,43250,0.964705882352941
"Q4",192,24854,0.973958333333333
