"marginalLCOD","n","landing","coverage"
"BDG",9,0,1
"BRG",326,26912,0.438650306748466
"CRS",50,0,0.58
"ERK",323,0,0.476780185758514
"MNT",108,45746,0.259259259259259
"MRO",138,142506,0.601449275362319
"OSF",29,0,0.827586206896552
"HKL",110,9396,0.872727272727273
"NET",6,2863,0.166666666666667
"TWL",867,202905,0.430219146482122
"1978",124,3899,0.733870967741935
"1979",102,7166,0.323529411764706
"1980",271,177136,0.350553505535055
"1981",237,26525,0.578059071729958
"1982",249,438,0.457831325301205
"Q1",162,4993,0.58641975308642
"Q2",289,70244,0.467128027681661
"Q3",340,122173,0.597058823529412
"Q4",192,17754,0.192708333333333
