"marginalQLBK","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,232,0.840490797546012
"CRS",50,0,1
"ERK",323,0,0.845201238390093
"MNT",108,0,0.805555555555556
"MRO",138,0,0.86231884057971
"OSF",29,0,0.862068965517241
"HKL",110,0,0.990909090909091
"NET",6,0,0
"TWL",867,232,0.838523644752018
"1978",124,232,0.82258064516129
"1979",102,0,0.990196078431373
"1980",271,0,0.859778597785978
"1981",237,0,0.822784810126582
"1982",249,0,0.823293172690763
"Q1",162,232,0.827160493827161
"Q2",289,0,0.910034602076125
"Q3",340,0,0.920588235294118
"Q4",192,0,0.65625
