"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.777777777777778
"BRG",326,0,1
"CRS",50,0,0.9
"ERK",323,0,0.708978328173375
"MNT",108,0,0.611111111111111
"MRO",138,0,0.666666666666667
"OSF",29,0,0.862068965517241
"HKL",110,0,0.945454545454545
"NET",6,0,0
"TWL",867,2766,0.79123414071511
"1978",124,0,0.967741935483871
"1979",102,0,0.892156862745098
"1980",271,0,0.664206642066421
"1981",237,2766,0.89873417721519
"1982",249,0,0.746987951807229
"Q1",162,0,0.820987654320988
"Q2",289,0,0.830449826989619
"Q3",340,0,0.811764705882353
"Q4",192,2766,0.734375
