"marginalYEYE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,263217,0.398773006134969
"CRS",50,139402,0.42
"ERK",323,77824,0.195046439628483
"MNT",108,0,0.0740740740740741
"MRO",138,70542,0.304347826086957
"OSF",29,52962,0.689655172413793
"HKL",110,88036,0.454545454545455
"NET",6,0,0.833333333333333
"TWL",867,515911,0.274509803921569
"1978",124,184810,0.596774193548387
"1979",102,64571,0.343137254901961
"1980",271,48575,0.0922509225092251
"1981",237,99037,0.337552742616034
"1982",249,206954,0.317269076305221
"Q1",162,75920,0.62962962962963
"Q2",289,191218,0.283737024221453
"Q3",340,208539,0.138235294117647
"Q4",192,128270,0.322916666666667
