margSLGR,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.785276073619632
CRS,50,0,0.98
ERK,323,1894,0.869969040247678
MNT,108,0,0.898148148148148
MRO,138,0,0.869565217391304
OSF,29,0,1
HKL,110,0,0.936363636363636
NET,6,0,0.833333333333333
TWL,867,1894,0.845444059976932
1978,124,0,0.67741935483871
1979,102,1894,0.901960784313726
1980,271,0,0.848708487084871
1981,237,0,1
1982,249,0,0.795180722891566
Q1,162,1894,0.987654320987654
Q2,289,0,0.782006920415225
Q3,340,0,0.867647058823529
Q4,192,0,0.833333333333333
