"marginalBCAC","n","landing","coverage"
"BDG",9,689945,0.333333333333333
"BRG",326,4401338,0.650306748466258
"CRS",50,570089,0.84
"ERK",323,2934116,0.764705882352941
"MNT",108,2426405,0.564814814814815
"MRO",138,1605793,0.521739130434783
"OSF",29,1665847,0.448275862068966
"HKL",110,906394,0.627272727272727
"NET",6,20053,0.666666666666667
"TWL",867,13367086,0.665513264129181
"1978",124,1320166,0.604838709677419
"1979",102,1408999,0.705882352941177
"1980",271,2700181,0.723247232472325
"1981",237,5193394,0.687763713080169
"1982",249,3670793,0.578313253012048
"Q1",162,3371850,0.691358024691358
"Q2",289,3877067,0.674740484429066
"Q3",340,4274305,0.623529411764706
"Q4",192,2770311,0.682291666666667
