"marginalCBZN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.868098159509202
"CRS",50,0,1
"ERK",323,0,0.993808049535604
"MNT",108,0,1
"MRO",138,125,0.91304347826087
"OSF",29,0,0.827586206896552
"HKL",110,125,0.872727272727273
"NET",6,0,1
"TWL",867,0,0.944636678200692
"1978",124,0,1
"1979",102,125,0.980392156862745
"1980",271,0,0.819188191881919
"1981",237,0,0.983122362869198
"1982",249,0,0.971887550200803
"Q1",162,0,0.969135802469136
"Q2",289,125,0.996539792387543
"Q3",340,0,0.847058823529412
"Q4",192,0,0.979166666666667
