margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.947852760736196
CRS,50,0,1
ERK,323,6444,0.984520123839009
MNT,108,0,0.990740740740741
MRO,138,2014,0.963768115942029
OSF,29,15228,0.655172413793103
HKL,110,20839,0.936363636363636
NET,6,0,1
TWL,867,2847,0.964244521337947
1978,124,0,0.991935483870968
1979,102,0,0.833333333333333
1980,271,19234,0.985239852398524
1981,237,0,0.962025316455696
1982,249,4452,0.971887550200803
Q1,162,0,0.975308641975309
Q2,289,15228,0.98961937716263
Q3,340,7833,0.955882352941177
Q4,192,625,0.916666666666667
