"marginalGBLC","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.883435582822086
"CRS",50,0,0.92
"ERK",323,0,0.919504643962848
"MNT",108,0,0.962962962962963
"MRO",138,37006,0.876811594202899
"OSF",29,0,0.862068965517241
"HKL",110,37006,0.854545454545454
"NET",6,0,0.5
"TWL",867,0,0.914648212226067
"1978",124,0,0.653225806451613
"1979",102,372,0.882352941176471
"1980",271,1328,0.985239852398524
"1981",237,0,0.928270042194093
"1982",249,35306,0.931726907630522
"Q1",162,5688,0.932098765432099
"Q2",289,58,0.875432525951557
"Q3",340,30556,0.920588235294118
"Q4",192,704,0.901041666666667
