"marginalREDS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,4464,0.754601226993865
"CRS",50,0,0.72
"ERK",323,4155,0.835913312693498
"MNT",108,0,0.962962962962963
"MRO",138,0,0.855072463768116
"OSF",29,0,1
"HKL",110,0,0.890909090909091
"NET",6,0,0.5
"TWL",867,8619,0.820069204152249
"1978",124,0,0.596774193548387
"1979",102,0,0.931372549019608
"1980",271,3996,0.774907749077491
"1981",237,468,0.852320675105485
"1982",249,4155,0.927710843373494
"Q1",162,468,0.962962962962963
"Q2",289,7030,0.71280276816609
"Q3",340,0,0.826470588235294
"Q4",192,1121,0.880208333333333
