"marginalSTRK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,127568,0.99079754601227
"CRS",50,10870,0.92
"ERK",323,14240,0.978328173374613
"MNT",108,28922,0.981481481481482
"MRO",138,0,1
"OSF",29,4362,1
"HKL",110,0,1
"NET",6,0,1
"TWL",867,185962,0.981545559400231
"1978",124,25258,0.983870967741935
"1979",102,67002,0.970588235294118
"1980",271,65546,0.985239852398524
"1981",237,6271,1
"1982",249,21885,0.971887550200803
"Q1",162,30435,0.993827160493827
"Q2",289,30177,0.982698961937716
"Q3",340,73936,0.973529411764706
"Q4",192,51414,0.994791666666667
