"marginalSWSP","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.153374233128834
"CRS",50,0,0.42
"ERK",323,0,0.315789473684211
"MNT",108,0,0.212962962962963
"MRO",138,0,0.159420289855072
"OSF",29,0,0.103448275862069
"HKL",110,0,0.190909090909091
"NET",6,0,0.666666666666667
"TWL",867,0,0.22722029988466
"1978",124,0,0.459677419354839
"1979",102,0,0.254901960784314
"1980",271,0,0.0627306273062731
"1981",237,0,0.274261603375527
"1982",249,0,0.228915662650602
"Q1",162,0,0.172839506172839
"Q2",289,0,0.26643598615917
"Q3",340,0,0.194117647058824
"Q4",192,0,0.265625
