margYMTH,n,landing,coverage
BDG,9,0,1
BRG,326,1535,0.901840490797546
CRS,50,0,1
ERK,323,0,0.86687306501548
MNT,108,0,0.990740740740741
MRO,138,0,0.86231884057971
OSF,29,0,1
HKL,110,0,0.827272727272727
NET,6,0,1
TWL,867,1535,0.912341407151096
1978,124,0,0.870967741935484
1979,102,1535,0.990196078431373
1980,271,0,0.863468634686347
1981,237,0,0.881856540084388
1982,249,0,0.947791164658635
Q1,162,0,0.882716049382716
Q2,289,0,0.892733564013841
Q3,340,0,0.870588235294118
Q4,192,1535,0.994791666666667
