"marginalCOPP","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,0,1
"CRS",50,0,1
"ERK",323,6444,0.829721362229102
"MNT",108,0,1
"MRO",138,2014,0.949275362318841
"OSF",29,15228,0.793103448275862
"HKL",110,20839,0.945454545454545
"NET",6,0,1
"TWL",867,2847,0.925028835063437
"1978",124,0,1
"1979",102,0,1
"1980",271,19234,0.904059040590406
"1981",237,0,0.966244725738397
"1982",249,4452,0.85140562248996
"Q1",162,0,1
"Q2",289,15228,0.996539792387543
"Q3",340,7833,0.897058823529412
"Q4",192,625,0.817708333333333
