"marginalEGLS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.720858895705521
"CRS",50,0,1
"ERK",323,0,0.944272445820433
"MNT",108,1398,0.925925925925926
"MRO",138,0,0.876811594202899
"OSF",29,0,0.96551724137931
"HKL",110,0,0.845454545454545
"NET",6,0,1
"TWL",867,1398,0.863898500576701
"1978",124,0,0.766129032258065
"1979",102,0,0.823529411764706
"1980",271,1398,0.837638376383764
"1981",237,0,0.843881856540084
"1982",249,0,0.971887550200803
"Q1",162,0,0.987654320987654
"Q2",289,0,0.865051903114187
"Q3",340,1398,0.764705882352941
"Q4",192,0,0.927083333333333
