"marginalSBLY","n","landing","coverage"
"BDG",9,6313,0.888888888888889
"BRG",326,387,0.736196319018405
"CRS",50,0,0.52
"ERK",323,0,0.538699690402477
"MNT",108,900,0.481481481481481
"MRO",138,0,0.5
"OSF",29,0,0.827586206896552
"HKL",110,0,0.372727272727273
"NET",6,0,0.166666666666667
"TWL",867,7600,0.635524798154556
"1978",124,387,0.17741935483871
"1979",102,0,0.480392156862745
"1980",271,0,0.85239852398524
"1981",237,0,0.654008438818565
"1982",249,7213,0.546184738955823
"Q1",162,0,0.537037037037037
"Q2",289,6588,0.705882352941177
"Q3",340,112,0.605882352941176
"Q4",192,900,0.5
