margBRWN,n,landing,coverage
BDG,9,0,1
BRG,326,4315,0.855828220858896
CRS,50,0,1
ERK,323,1394,0.69969040247678
MNT,108,0,0.87037037037037
MRO,138,144491,0.920289855072464
OSF,29,35728,0.931034482758621
HKL,110,35728,0.936363636363636
NET,6,0,0.833333333333333
TWL,867,150200,0.81199538638985
1978,124,0,0.483870967741935
1979,102,0,0.941176470588235
1980,271,181604,0.940959409594096
1981,237,2930,0.962025316455696
1982,249,1394,0.694779116465863
Q1,162,0,0.808641975308642
Q2,289,35728,0.889273356401384
Q3,340,4315,0.835294117647059
Q4,192,145885,0.729166666666667
