margCBZN,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.957055214723926
CRS,50,0,1
ERK,323,0,0.829721362229102
MNT,108,0,0.907407407407407
MRO,138,125,0.963768115942029
OSF,29,0,0.896551724137931
HKL,110,125,0.954545454545455
NET,6,0,1
TWL,867,0,0.905420991926182
1978,124,0,0.879032258064516
1979,102,125,0.990196078431373
1980,271,0,0.985239852398524
1981,237,0,0.873417721518987
1982,249,0,0.85140562248996
Q1,162,0,0.944444444444444
Q2,289,125,0.847750865051903
Q3,340,0,0.905882352941176
Q4,192,0,0.989583333333333
