margROSY,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.506134969325153
CRS,50,0,0.64
ERK,323,0,0.260061919504644
MNT,108,0,0.666666666666667
MRO,138,321,0.471014492753623
OSF,29,0,0.551724137931034
HKL,110,321,0.509090909090909
NET,6,0,0.166666666666667
TWL,867,0,0.439446366782007
1978,124,0,0.483870967741935
1979,102,0,0.176470588235294
1980,271,60,0.59409594095941
1981,237,136,0.527426160337553
1982,249,125,0.29718875502008
Q1,162,125,0.62962962962963
Q2,289,0,0.349480968858132
Q3,340,60,0.379411764705882
Q4,192,136,0.552083333333333
