"marginalREYE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.898773006134969
"CRS",50,0,0.88
"ERK",323,0,0.910216718266254
"MNT",108,0,0.916666666666667
"MRO",138,0,0.833333333333333
"OSF",29,0,0.896551724137931
"HKL",110,0,0.790909090909091
"NET",6,0,0.833333333333333
"TWL",867,0,0.908881199538639
"1978",124,0,0.870967741935484
"1979",102,0,0.607843137254902
"1980",271,0,0.944649446494465
"1981",237,0,0.940928270042194
"1982",249,0,0.927710843373494
"Q1",162,0,0.932098765432099
"Q2",289,0,0.878892733564014
"Q3",340,0,0.932352941176471
"Q4",192,0,0.822916666666667
