"marginalSLGR","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.93558282208589
"CRS",50,0,1
"ERK",323,1894,0.944272445820433
"MNT",108,0,0.888888888888889
"MRO",138,0,1
"OSF",29,0,0.689655172413793
"HKL",110,0,1
"NET",6,0,0.5
"TWL",867,1894,0.934256055363322
"1978",124,0,0.774193548387097
"1979",102,1894,0.990196078431373
"1980",271,0,0.952029520295203
"1981",237,0,0.978902953586498
"1982",249,0,0.947791164658635
"Q1",162,1894,0.944444444444444
"Q2",289,0,0.958477508650519
"Q3",340,0,0.985294117647059
"Q4",192,0,0.822916666666667
