margCBZN,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.285276073619632
CRS,50,0,0.14
ERK,323,0,0.207430340557276
MNT,108,0,0.12962962962963
MRO,138,125,0.318840579710145
OSF,29,0,0
HKL,110,125,0.372727272727273
NET,6,0,0.166666666666667
TWL,867,0,0.211072664359862
1978,124,0,0.42741935483871
1979,102,125,0.392156862745098
1980,271,0,0.025830258302583
1981,237,0,0.126582278481013
1982,249,0,0.381526104417671
Q1,162,0,0.271604938271605
Q2,289,125,0.377162629757785
Q3,340,0,0.135294117647059
Q4,192,0,0.135416666666667
