margOLVE,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.93558282208589
CRS,50,0,0.98
ERK,323,0,0.987616099071207
MNT,108,7525,0.972222222222222
MRO,138,17817,0.956521739130435
OSF,29,0,0.862068965517241
HKL,110,24120,0.918181818181818
NET,6,0,1
TWL,867,1222,0.965397923875433
1978,124,0,0.830645161290323
1979,102,4165,0.970588235294118
1980,271,6674,0.992619926199262
1981,237,374,0.978902953586498
1982,249,14129,0.967871485943775
Q1,162,0,0.975308641975309
Q2,289,5016,0.986159169550173
Q3,340,19210,0.991176470588235
Q4,192,1116,0.854166666666667
