margREX,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,0,0.0889570552147239
CRS,50,0,0.22
ERK,323,0,0.294117647058824
MNT,108,0,0.268518518518519
MRO,138,0,0.326086956521739
OSF,29,3731,0.137931034482759
HKL,110,0,0.236363636363636
NET,6,0,0
TWL,867,3731,0.219146482122261
1978,124,0,0.241935483870968
1979,102,0,0.284313725490196
1980,271,0,0.188191881918819
1981,237,0,0.253164556962025
1982,249,3731,0.184738955823293
Q1,162,0,0.154320987654321
Q2,289,3731,0.290657439446367
Q3,340,0,0.302941176470588
Q4,192,0,0.0208333333333333
