margROSY,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,0,0.493865030674847
CRS,50,0,0.54
ERK,323,0,0.613003095975232
MNT,108,0,0.453703703703704
MRO,138,321,0.420289855072464
OSF,29,0,0.620689655172414
HKL,110,321,0.318181818181818
NET,6,0,0.333333333333333
TWL,867,0,0.554786620530565
1978,124,0,0.0806451612903226
1979,102,0,0.637254901960784
1980,271,60,0.712177121771218
1981,237,136,0.523206751054852
1982,249,125,0.506024096385542
Q1,162,125,0.419753086419753
Q2,289,0,0.640138408304498
Q3,340,60,0.461764705882353
Q4,192,136,0.5625
