"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.315950920245399
"CRS",50,0,0.04
"ERK",323,0,0.442724458204334
"MNT",108,0,0.287037037037037
"MRO",138,766,0.427536231884058
"OSF",29,0,0.137931034482759
"HKL",110,766,0.318181818181818
"NET",6,0,0
"TWL",867,0,0.355247981545559
"1978",124,0,0.387096774193548
"1979",102,766,0.470588235294118
"1980",271,0,0.18450184501845
"1981",237,0,0.341772151898734
"1982",249,0,0.465863453815261
"Q1",162,0,0.598765432098765
"Q2",289,0,0.408304498269896
"Q3",340,766,0.373529411764706
"Q4",192,0,0.00520833333333333
