"marginalCLPR","n","landing","coverage"
"BDG",9,160601,0.555555555555556
"BRG",326,5460561,0.49079754601227
"CRS",50,18822,0.98
"ERK",323,1278213,0.882352941176471
"MNT",108,1573782,0.648148148148148
"MRO",138,841860,0.760869565217391
"OSF",29,837157,0.586206896551724
"HKL",110,597138,0.809090909090909
"NET",6,0,1
"TWL",867,9573858,0.687427912341407
"1978",124,1172492,0.653225806451613
"1979",102,2327247,0.568627450980392
"1980",271,2560887,0.675276752767528
"1981",237,2252765,0.759493670886076
"1982",249,1857605,0.759036144578313
"Q1",162,2134234,0.703703703703704
"Q2",289,2254890,0.750865051903114
"Q3",340,3183438,0.688235294117647
"Q4",192,2598434,0.65625
