"marginalEGLS","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.315950920245399
"CRS",50,0,0.08
"ERK",323,0,0.253869969040248
"MNT",108,1398,0.342592592592593
"MRO",138,0,0.246376811594203
"OSF",29,0,0.0689655172413793
"HKL",110,0,0.209090909090909
"NET",6,0,0.166666666666667
"TWL",867,1398,0.275663206459054
"1978",124,0,0.330645161290323
"1979",102,0,0.352941176470588
"1980",271,1398,0.354243542435424
"1981",237,0,0.0843881856540084
"1982",249,0,0.281124497991968
"Q1",162,0,0.246913580246914
"Q2",289,0,0.13840830449827
"Q3",340,1398,0.347058823529412
"Q4",192,0,0.338541666666667
