"marginalQLBK","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,232,0.337423312883436
"CRS",50,0,0.56
"ERK",323,0,0.287925696594427
"MNT",108,0,0.231481481481481
"MRO",138,0,0.202898550724638
"OSF",29,0,0.344827586206897
"HKL",110,0,0.172727272727273
"NET",6,0,0.166666666666667
"TWL",867,232,0.320645905420992
"1978",124,232,0.233870967741935
"1979",102,0,0.0980392156862745
"1980",271,0,0.446494464944649
"1981",237,0,0.30379746835443
"1982",249,0,0.265060240963855
"Q1",162,232,0.277777777777778
"Q2",289,0,0.1280276816609
"Q3",340,0,0.511764705882353
"Q4",192,0,0.21875
