"marginalREYE","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.420245398773006
"CRS",50,0,0.36
"ERK",323,0,0.0990712074303406
"MNT",108,0,0.305555555555556
"MRO",138,0,0.253623188405797
"OSF",29,0,0.137931034482759
"HKL",110,0,0.218181818181818
"NET",6,0,0.666666666666667
"TWL",867,0,0.271049596309112
"1978",124,0,0.370967741935484
"1979",102,0,0.568627450980392
"1980",271,0,0.250922509225092
"1981",237,0,0.29957805907173
"1982",249,0,0.0803212851405622
"Q1",162,0,0.203703703703704
"Q2",289,0,0.27681660899654
"Q3",340,0,0.188235294117647
"Q4",192,0,0.447916666666667
