"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,1338,0.358895705521472
"CRS",50,157,0.48
"ERK",323,291,0.591331269349845
"MNT",108,0,0.592592592592593
"MRO",138,0,0.5
"OSF",29,0,0.551724137931034
"HKL",110,0,0.454545454545455
"NET",6,0,0.666666666666667
"TWL",867,1786,0.497116493656286
"1978",124,47,0.32258064516129
"1979",102,244,0.470588235294118
"1980",271,0,0.535055350553506
"1981",237,0,0.594936708860759
"1982",249,1495,0.44578313253012
"Q1",162,0,0.364197530864198
"Q2",289,1582,0.56401384083045
"Q3",340,204,0.582352941176471
"Q4",192,0,0.338541666666667
