margBRWN,n,landing,coverage
BDG,9,0,1
BRG,326,4315,0.837423312883436
CRS,50,0,0.94
ERK,323,1394,0.780185758513932
MNT,108,0,0.861111111111111
MRO,138,144491,0.86231884057971
OSF,29,35728,0.758620689655172
HKL,110,35728,0.827272727272727
NET,6,0,1
TWL,867,150200,0.828143021914648
1978,124,0,0.620967741935484
1979,102,0,1
1980,271,181604,0.874538745387454
1981,237,2930,0.814345991561181
1982,249,1394,0.827309236947791
Q1,162,0,0.888888888888889
Q2,289,35728,0.878892733564014
Q3,340,4315,0.755882352941176
Q4,192,145885,0.833333333333333
