margCNRY,n,landing,coverage
BDG,9,66834,0.888888888888889
BRG,326,1975794,0.960122699386503
CRS,50,1398777,0.76
ERK,323,1577283,0.900928792569659
MNT,108,20852,0.990740740740741
MRO,138,100136,1
OSF,29,7637,0.96551724137931
HKL,110,132906,0.990909090909091
NET,6,0,1
TWL,867,5014407,0.931949250288351
1978,124,1259855,0.895161290322581
1979,102,626077,0.970588235294118
1980,271,615166,0.948339483394834
1981,237,1146147,0.932489451476793
1982,249,1500068,0.943775100401606
Q1,162,848186,0.938271604938272
Q2,289,1937730,0.927335640138408
Q3,340,1978133,0.923529411764706
Q4,192,383264,0.984375
