margGBLC,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.852760736196319
CRS,50,0,1
ERK,323,0,0.922600619195046
MNT,108,0,0.972222222222222
MRO,138,37006,0.869565217391304
OSF,29,0,0.862068965517241
HKL,110,37006,0.9
NET,6,0,0.833333333333333
TWL,867,0,0.90080738177624
1978,124,0,0.548387096774194
1979,102,372,0.911764705882353
1980,271,1328,0.959409594095941
1981,237,0,0.915611814345992
1982,249,35306,0.991967871485944
Q1,162,5688,0.932098765432099
Q2,289,58,0.896193771626298
Q3,340,30556,0.841176470588235
Q4,192,704,0.984375
