margGRAS,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.901840490797546
CRS,50,0,1
ERK,323,1251,0.996904024767802
MNT,108,0,0.722222222222222
MRO,138,0,0.869565217391304
OSF,29,0,0.96551724137931
HKL,110,0,0.854545454545454
NET,6,0,1
TWL,867,1251,0.922722029988466
1978,124,0,1
1979,102,0,0.92156862745098
1980,271,0,0.885608856088561
1981,237,0,0.915611814345992
1982,249,1251,0.903614457831325
Q1,162,0,0.851851851851852
Q2,289,1251,0.934256055363322
Q3,340,0,0.926470588235294
Q4,192,0,0.921875
