margQLBK,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,232,0.0950920245398773
CRS,50,0,0.46
ERK,323,0,0.247678018575851
MNT,108,0,0.444444444444444
MRO,138,0,0.333333333333333
OSF,29,0,0.206896551724138
HKL,110,0,0.327272727272727
NET,6,0,0.166666666666667
TWL,867,232,0.231833910034602
1978,124,232,0.032258064516129
1979,102,0,0.147058823529412
1980,271,0,0.287822878228782
1981,237,0,0.109704641350211
1982,249,0,0.461847389558233
Q1,162,232,0.333333333333333
Q2,289,0,0.134948096885813
Q3,340,0,0.270588235294118
Q4,192,0,0.276041666666667
