margRSTN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,1338,0.48159509202454
CRS,50,157,0.6
ERK,323,291,0.458204334365325
MNT,108,0,0.703703703703704
MRO,138,0,0.652173913043478
OSF,29,0,0.310344827586207
HKL,110,0,0.5
NET,6,0,0.166666666666667
TWL,867,1786,0.532871972318339
1978,124,47,0.693548387096774
1979,102,244,0.617647058823529
1980,271,0,0.546125461254613
1981,237,0,0.485232067510549
1982,249,1495,0.42570281124498
Q1,162,0,0.450617283950617
Q2,289,1582,0.539792387543253
Q3,340,204,0.438235294117647
Q4,192,0,0.729166666666667
