margSBLY,n,landing,coverage
BDG,9,6313,0.888888888888889
BRG,326,387,0.371165644171779
CRS,50,0,0.62
ERK,323,0,0.513931888544892
MNT,108,900,0.675925925925926
MRO,138,0,0.673913043478261
OSF,29,0,0.482758620689655
HKL,110,0,0.590909090909091
NET,6,0,0.5
TWL,867,7600,0.505190311418685
1978,124,387,0.459677419354839
1979,102,0,0.568627450980392
1980,271,0,0.553505535055351
1981,237,0,0.358649789029536
1982,249,7213,0.626506024096386
Q1,162,0,0.487654320987654
Q2,289,6588,0.328719723183391
Q3,340,112,0.552941176470588
Q4,192,900,0.75
