"marginalFLAG","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.938650306748466
"CRS",50,1522,0.98
"ERK",323,293,0.944272445820433
"MNT",108,0,0.962962962962963
"MRO",138,2013,0.876811594202899
"OSF",29,0,0.827586206896552
"HKL",110,1682,0.854545454545454
"NET",6,0,1
"TWL",867,2146,0.943483275663206
"1978",124,0,0.870967741935484
"1979",102,0,1
"1980",271,331,0.988929889298893
"1981",237,1742,0.881856540084388
"1982",249,1755,0.927710843373494
"Q1",162,526,0.876543209876543
"Q2",289,1522,0.927335640138408
"Q3",340,599,0.935294117647059
"Q4",192,1181,0.989583333333333
