"marginalLSPN","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,432,0.226993865030675
"CRS",50,0,0.26
"ERK",323,0,0.315789473684211
"MNT",108,0,0.287037037037037
"MRO",138,0,0.514492753623188
"OSF",29,0,0.551724137931034
"HKL",110,0,0.409090909090909
"NET",6,0,0.166666666666667
"TWL",867,432,0.304498269896194
"1978",124,163,0.0403225806451613
"1979",102,0,0.42156862745098
"1980",271,269,0.535055350553506
"1981",237,0,0.421940928270042
"1982",249,0,0.0682730923694779
"Q1",162,0,0.333333333333333
"Q2",289,0,0.179930795847751
"Q3",340,269,0.511764705882353
"Q4",192,163,0.15625
