"marginalSHRP","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,3698,0.46319018404908
"CRS",50,0,0.3
"ERK",323,0,0.643962848297214
"MNT",108,0,0.435185185185185
"MRO",138,0,0.36231884057971
"OSF",29,0,0.344827586206897
"HKL",110,0,0.245454545454545
"NET",6,0,0.333333333333333
"TWL",867,3698,0.522491349480969
"1978",124,0,0.669354838709677
"1979",102,3698,0.392156862745098
"1980",271,0,0.575645756457565
"1981",237,0,0.39662447257384
"1982",249,0,0.437751004016064
"Q1",162,0,0.388888888888889
"Q2",289,0,0.411764705882353
"Q3",340,1139,0.591176470588235
"Q4",192,2559,0.515625
