"marginalWDOW","n","landing","coverage"
"BDG",9,13218,0.888888888888889
"BRG",326,635196,0.785276073619632
"CRS",50,182129,0.78
"ERK",323,15744399,0.625386996904025
"MNT",108,570494,0.537037037037037
"MRO",138,219593,0.840579710144927
"OSF",29,788477,0.793103448275862
"HKL",110,208182,0.845454545454545
"NET",6,10917,0.333333333333333
"TWL",867,17934407,0.700115340253749
"1978",124,749148,0.741935483870968
"1979",102,2751370,0.735294117647059
"1980",271,10708990,0.675276752767528
"1981",237,3288416,0.679324894514768
"1982",249,655582,0.767068273092369
"Q1",162,4011229,0.672839506172839
"Q2",289,4284190,0.664359861591695
"Q3",340,4756660,0.776470588235294
"Q4",192,5101427,0.713541666666667
