"marginalYEYE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,263217,0.97239263803681
"CRS",50,139402,0.94
"ERK",323,77824,0.987616099071207
"MNT",108,0,1
"MRO",138,70542,0.898550724637681
"OSF",29,52962,0.896551724137931
"HKL",110,88036,0.854545454545454
"NET",6,0,1
"TWL",867,515911,0.980392156862745
"1978",124,184810,0.983870967741935
"1979",102,64571,0.96078431372549
"1980",271,48575,0.959409594095941
"1981",237,99037,0.966244725738397
"1982",249,206954,0.967871485943775
"Q1",162,75920,0.95679012345679
"Q2",289,191218,0.97923875432526
"Q3",340,208539,0.970588235294118
"Q4",192,128270,0.947916666666667
