margBANK,n,landing,coverage
BDG,9,0,1
BRG,326,610204,0.947852760736196
CRS,50,0,1
ERK,323,71047,0.996904024767802
MNT,108,687699,0.861111111111111
MRO,138,316205,0.985507246376812
OSF,29,0,1
HKL,110,87376,1
NET,6,36046,1
TWL,867,1561733,0.959630911188005
1978,124,86843,0.967741935483871
1979,102,83366,0.980392156862745
1980,271,107956,0.988929889298893
1981,237,888719,0.936708860759494
1982,249,518271,0.955823293172691
Q1,162,615603,0.91358024691358
Q2,289,575087,0.948096885813149
Q3,340,304023,0.988235294117647
Q4,192,190442,0.989583333333333
