margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.625766871165644
CRS,50,1398777,0.4
ERK,323,1577283,0.625386996904025
MNT,108,20852,0.981481481481482
MRO,138,100136,0.789855072463768
OSF,29,7637,0.862068965517241
HKL,110,132906,0.718181818181818
NET,6,0,1
TWL,867,5014407,0.677047289504037
1978,124,1259855,0.556451612903226
1979,102,626077,0.666666666666667
1980,271,615166,0.671586715867159
1981,237,1146147,0.742616033755274
1982,249,1500068,0.710843373493976
Q1,162,848186,0.790123456790123
Q2,289,1937730,0.640138408304498
Q3,340,1978133,0.635294117647059
Q4,192,383264,0.744791666666667
