margOLVE,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.690184049079755
CRS,50,0,0.76
ERK,323,0,0.808049535603715
MNT,108,7525,0.768518518518518
MRO,138,17817,0.942028985507246
OSF,29,0,0.758620689655172
HKL,110,24120,0.936363636363636
NET,6,0,1
TWL,867,1222,0.760092272202999
1978,124,0,0.701612903225806
1979,102,4165,0.803921568627451
1980,271,6674,0.959409594095941
1981,237,374,0.687763713080169
1982,249,14129,0.706827309236948
Q1,162,0,0.777777777777778
Q2,289,5016,0.799307958477509
Q3,340,19210,0.741176470588235
Q4,192,1116,0.828125
