margREDS,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,4464,0.763803680981595
CRS,50,0,0.74
ERK,323,4155,0.789473684210526
MNT,108,0,0.916666666666667
MRO,138,0,0.905797101449275
OSF,29,0,0.793103448275862
HKL,110,0,0.927272727272727
NET,6,0,1
TWL,867,8619,0.793540945790081
1978,124,0,0.669354838709677
1979,102,0,0.950980392156863
1980,271,3996,0.892988929889299
1981,237,468,0.784810126582278
1982,249,4155,0.755020080321285
Q1,162,468,0.938271604938272
Q2,289,7030,0.820069204152249
Q3,340,0,0.697058823529412
Q4,192,1121,0.885416666666667
