margREX,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,0,0.214723926380368
CRS,50,0,0.26
ERK,323,0,0.306501547987616
MNT,108,0,0.398148148148148
MRO,138,0,0.514492753623188
OSF,29,3731,0.620689655172414
HKL,110,0,0.581818181818182
NET,6,0,0.5
TWL,867,3731,0.28719723183391
1978,124,0,0.290322580645161
1979,102,0,0.42156862745098
1980,271,0,0.11070110701107
1981,237,0,0.569620253164557
1982,249,3731,0.289156626506024
Q1,162,0,0.567901234567901
Q2,289,3731,0.474048442906574
Q3,340,0,0.105882352941176
Q4,192,0,0.265625
