margREYE,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,0,0.134969325153374
CRS,50,0,0.3
ERK,323,0,0.647058823529412
MNT,108,0,0.425925925925926
MRO,138,0,0.434782608695652
OSF,29,0,0.206896551724138
HKL,110,0,0.472727272727273
NET,6,0,0.333333333333333
TWL,867,0,0.378316032295271
1978,124,0,0.0645161290322581
1979,102,0,0.490196078431373
1980,271,0,0.3690036900369
1981,237,0,0.506329113924051
1982,249,0,0.417670682730924
Q1,162,0,0.41358024691358
Q2,289,0,0.432525951557093
Q3,340,0,0.391176470588235
Q4,192,0,0.296875
