margURCK,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.190184049079755
CRS,50,44,0.28
ERK,323,0,0.179566563467492
MNT,108,0,0.277777777777778
MRO,138,0,0.144927536231884
OSF,29,0,0.344827586206897
HKL,110,0,0.236363636363636
NET,6,0,0.166666666666667
TWL,867,44,0.192618223760092
1978,124,0,0.282258064516129
1979,102,0,0.186274509803922
1980,271,44,0.247232472324723
1981,237,0,0.080168776371308
1982,249,0,0.216867469879518
Q1,162,0,0.228395061728395
Q2,289,0,0.0311418685121107
Q3,340,44,0.252941176470588
Q4,192,0,0.322916666666667
