species,year,n,landing,coverage
ARRA,1978,124,5863246,0.991935483870968
ARRA,1979,102,8086821,0.990196078431373
ARRA,1980,271,18891334,0.981549815498155
ARRA,1981,237,16465988,0.983122362869198
ARRA,1982,249,11122887,0.943775100401606
BANK,1978,124,5863246,0.959677419354839
BANK,1979,102,8086821,0.892156862745098
BANK,1980,271,18891334,0.959409594095941
BANK,1981,237,16465988,0.90295358649789
BANK,1982,249,11122887,0.847389558232932
BCAC,1978,124,5863246,0.596774193548387
BCAC,1979,102,8086821,0.656862745098039
BCAC,1980,271,18891334,0.74169741697417
BCAC,1981,237,16465988,0.687763713080169
BCAC,1982,249,11122887,0.570281124497992
BLCK,1978,124,5863246,0.951612903225806
BLCK,1979,102,8086821,0.980392156862745
BLCK,1980,271,18891334,0.940959409594096
BLCK,1981,237,16465988,0.932489451476793
BLCK,1982,249,11122887,0.895582329317269
BLGL,1978,124,5863246,0.975806451612903
BLGL,1979,102,8086821,0.941176470588235
BLGL,1980,271,18891334,0.974169741697417
BLGL,1981,237,16465988,0.978902953586498
BLGL,1982,249,11122887,0.963855421686747
BLUR,1978,124,5863246,0.919354838709677
BLUR,1979,102,8086821,0.950980392156863
BLUR,1980,271,18891334,0.992619926199262
BLUR,1981,237,16465988,0.856540084388186
BLUR,1982,249,11122887,0.947791164658635
BRNZ,1978,124,5863246,0.201612903225806
BRNZ,1979,102,8086821,0.294117647058824
BRNZ,1980,271,18891334,0.309963099630996
BRNZ,1981,237,16465988,0.29535864978903
BRNZ,1982,249,11122887,0.530120481927711
BRWN,1978,124,5863246,0.758064516129032
BRWN,1979,102,8086821,1
BRWN,1980,271,18891334,0.988929889298893
BRWN,1981,237,16465988,0.911392405063291
BRWN,1982,249,11122887,0.963855421686747
CBZN,1978,124,5863246,0.129032258064516
CBZN,1979,102,8086821,0.166666666666667
CBZN,1980,271,18891334,0.206642066420664
CBZN,1981,237,16465988,0.156118143459916
CBZN,1982,249,11122887,0.14859437751004
CLPR,1978,124,5863246,0.637096774193548
CLPR,1979,102,8086821,0.53921568627451
CLPR,1980,271,18891334,0.678966789667897
CLPR,1981,237,16465988,0.751054852320675
CLPR,1982,249,11122887,0.755020080321285
CNRY,1978,124,5863246,0.556451612903226
CNRY,1979,102,8086821,0.666666666666667
CNRY,1980,271,18891334,0.671586715867159
CNRY,1981,237,16465988,0.742616033755274
CNRY,1982,249,11122887,0.710843373493976
COPP,1978,124,5863246,0.879032258064516
COPP,1979,102,8086821,1
COPP,1980,271,18891334,0.977859778597786
COPP,1981,237,16465988,0.890295358649789
COPP,1982,249,11122887,0.979919678714859
CWCD,1978,124,5863246,1
CWCD,1979,102,8086821,0.970588235294118
CWCD,1980,271,18891334,0.981549815498155
CWCD,1981,237,16465988,0.983122362869198
CWCD,1982,249,11122887,0.983935742971888
DBRK,1978,124,5863246,0.830645161290323
DBRK,1979,102,8086821,0.911764705882353
DBRK,1980,271,18891334,0.88929889298893
DBRK,1981,237,16465988,0.856540084388186
DBRK,1982,249,11122887,0.795180722891566
EGLS,1978,124,5863246,0.346774193548387
EGLS,1979,102,8086821,0.411764705882353
EGLS,1980,271,18891334,0.317343173431734
EGLS,1981,237,16465988,0.320675105485232
EGLS,1982,249,11122887,0.329317269076305
FLAG,1978,124,5863246,0.766129032258065
FLAG,1979,102,8086821,1
FLAG,1980,271,18891334,0.959409594095941
FLAG,1981,237,16465988,0.89873417721519
FLAG,1982,249,11122887,0.78714859437751
GBLC,1978,124,5863246,0.112903225806452
GBLC,1979,102,8086821,0.450980392156863
GBLC,1980,271,18891334,0.476014760147601
GBLC,1981,237,16465988,0.708860759493671
GBLC,1982,249,11122887,0.614457831325301
GRAS,1978,124,5863246,0.330645161290323
GRAS,1979,102,8086821,0.401960784313726
GRAS,1980,271,18891334,0.173431734317343
GRAS,1981,237,16465988,0.0675105485232067
GRAS,1982,249,11122887,0.253012048192771
GSPT,1978,124,5863246,0.854838709677419
GSPT,1979,102,8086821,0.794117647058823
GSPT,1980,271,18891334,0.845018450184502
GSPT,1981,237,16465988,0.852320675105485
GSPT,1982,249,11122887,0.85140562248996
GSRK,1978,124,5863246,0.82258064516129
GSRK,1979,102,8086821,0.892156862745098
GSRK,1980,271,18891334,0.92619926199262
GSRK,1981,237,16465988,0.936708860759494
GSRK,1982,249,11122887,0.943775100401606
LCOD,1978,124,5863246,0.967741935483871
LCOD,1979,102,8086821,0.96078431372549
LCOD,1980,271,18891334,0.940959409594096
LCOD,1981,237,16465988,0.991561181434599
LCOD,1982,249,11122887,0.995983935742972
LSPN,1978,124,5863246,0.637096774193548
LSPN,1979,102,8086821,0.568627450980392
LSPN,1980,271,18891334,0.339483394833948
LSPN,1981,237,16465988,0.535864978902954
LSPN,1982,249,11122887,0.409638554216867
MXRF,1978,124,5863246,0.524193548387097
MXRF,1979,102,8086821,0.480392156862745
MXRF,1980,271,18891334,0.173431734317343
MXRF,1981,237,16465988,0.341772151898734
MXRF,1982,249,11122887,0.220883534136546
OLVE,1978,124,5863246,0.701612903225806
OLVE,1979,102,8086821,0.803921568627451
OLVE,1980,271,18891334,0.959409594095941
OLVE,1981,237,16465988,0.687763713080169
OLVE,1982,249,11122887,0.706827309236948
