margGRAS,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.907975460122699
CRS,50,0,0.9
ERK,323,1251,0.900928792569659
MNT,108,0,0.833333333333333
MRO,138,0,0.992753623188406
OSF,29,0,0.931034482758621
HKL,110,0,1
NET,6,0,0.333333333333333
TWL,867,1251,0.903114186851211
1978,124,0,0.596774193548387
1979,102,0,0.823529411764706
1980,271,0,0.992619926199262
1981,237,0,0.945147679324895
1982,249,1251,0.979919678714859
Q1,162,0,0.901234567901235
Q2,289,1251,0.916955017301038
Q3,340,0,0.858823529411765
Q4,192,0,1
