margLSPN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,432,0.576687116564417
CRS,50,0,0.34
ERK,323,0,0.479876160990712
MNT,108,0,0.305555555555556
MRO,138,0,0.282608695652174
OSF,29,0,0.275862068965517
HKL,110,0,0.318181818181818
NET,6,0,0
TWL,867,432,0.476355247981546
1978,124,163,0.548387096774194
1979,102,0,0.254901960784314
1980,271,269,0.6309963099631
1981,237,0,0.409282700421941
1982,249,0,0.345381526104418
Q1,162,0,0.296296296296296
Q2,289,0,0.57439446366782
Q3,340,269,0.355882352941176
Q4,192,163,0.588541666666667
