margMXRF,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,15828,0.251533742331288
CRS,50,0,0.16
ERK,323,0,0.356037151702786
MNT,108,0,0.175925925925926
MRO,138,0,0.217391304347826
OSF,29,0,0.413793103448276
HKL,110,0,0.2
NET,6,0,0.5
TWL,867,15828,0.283737024221453
1978,124,0,0.338709677419355
1979,102,0,0.156862745098039
1980,271,15828,0.0479704797047971
1981,237,0,0.485232067510549
1982,249,0,0.34136546184739
Q1,162,0,0.530864197530864
Q2,289,6676,0.14878892733564
Q3,340,9152,0.294117647058824
Q4,192,0,0.21875
