margREDS,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,4464,0.570552147239264
CRS,50,0,0.76
ERK,323,4155,0.736842105263158
MNT,108,0,1
MRO,138,0,0.905797101449275
OSF,29,0,0.896551724137931
HKL,110,0,0.845454545454545
NET,6,0,1
TWL,867,8619,0.72318339100346
1978,124,0,0.653225806451613
1979,102,0,0.549019607843137
1980,271,3996,0.752767527675277
1981,237,468,0.810126582278481
1982,249,4155,0.775100401606426
Q1,162,468,0.759259259259259
Q2,289,7030,0.775086505190311
Q3,340,0,0.623529411764706
Q4,192,1121,0.869791666666667
