margREYE,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.260736196319018
CRS,50,0,0.04
ERK,323,0,0.263157894736842
MNT,108,0,0.546296296296296
MRO,138,0,0.13768115942029
OSF,29,0,0.448275862068966
HKL,110,0,0.00909090909090909
NET,6,0,0
TWL,867,0,0.303344867358708
1978,124,0,0.354838709677419
1979,102,0,0.284313725490196
1980,271,0,0.409594095940959
1981,237,0,0.189873417721519
1982,249,0,0.140562248995984
Q1,162,0,0.333333333333333
Q2,289,0,0.311418685121107
Q3,340,0,0.241176470588235
Q4,192,0,0.197916666666667
