margRSTN,n,landing,coverage
BDG,9,0,0
BRG,326,1338,0.592024539877301
CRS,50,157,0.24
ERK,323,291,0.430340557275542
MNT,108,0,0.481481481481481
MRO,138,0,0.420289855072464
OSF,29,0,0.827586206896552
HKL,110,0,0.4
NET,6,0,0.166666666666667
TWL,867,1786,0.499423298731257
1978,124,47,0.629032258064516
1979,102,244,0.470588235294118
1980,271,0,0.380073800738007
1981,237,0,0.476793248945148
1982,249,1495,0.546184738955823
Q1,162,0,0.419753086419753
Q2,289,1582,0.494809688581315
Q3,340,204,0.541176470588235
Q4,192,0,0.432291666666667
