margSBLY,n,landing,coverage
BDG,9,6313,0.333333333333333
BRG,326,387,0.53680981595092
CRS,50,0,0.5
ERK,323,0,0.402476780185758
MNT,108,900,0.472222222222222
MRO,138,0,0.536231884057971
OSF,29,0,0.586206896551724
HKL,110,0,0.618181818181818
NET,6,0,0.666666666666667
TWL,867,7600,0.46482122260669
1978,124,387,0.42741935483871
1979,102,0,0.656862745098039
1980,271,0,0.660516605166052
1981,237,0,0.438818565400844
1982,249,7213,0.289156626506024
Q1,162,0,0.419753086419753
Q2,289,6588,0.401384083044983
Q3,340,112,0.517647058823529
Q4,192,900,0.598958333333333
