margSWSP,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,0,0.251533742331288
CRS,50,0,0.14
ERK,323,0,0.105263157894737
MNT,108,0,0.231481481481481
MRO,138,0,0.369565217391304
OSF,29,0,0.172413793103448
HKL,110,0,0.481818181818182
NET,6,0,0
TWL,867,0,0.17762399077278
1978,124,0,0.0645161290322581
1979,102,0,0.196078431372549
1980,271,0,0.273062730627306
1981,237,0,0.227848101265823
1982,249,0,0.204819277108434
Q1,162,0,0.185185185185185
Q2,289,0,0.231833910034602
Q3,340,0,0.164705882352941
Q4,192,0,0.28125
